Book_noBook_NameURL
1Computational Thinking https://www.goodreads.com/book/show/42068909-computational-thinking
2This View of Life: Completing the Darwinian Revolution https://www.goodreads.com/book/show/40360969-this-view-of-life
3Specialization and Trade: A Reintroduction to Economics: An Introduction https://www.goodreads.com/book/show/31748390-specialization-and-trade
4How Emotions Are Made: The Secret Life of the Brain https://www.goodreads.com/book/show/23719305-how-emotions-are-made
5Plato and the Nerd: The Creative Partnership of Humans and Technology https://www.goodreads.com/book/show/34540052-plato-and-the-nerd
6The Difference: How the Power of Diversity Creates Better Groups, Firms, Schools, and Societies https://www.goodreads.com/book/show/613966.The_Difference
7the art of logic in an illogical worldhttps://www.goodreads.com/book/show/38400400-the-art-of-logic-in-an-illogical-world
8Life 3.0: Being Human in the Age of Artificial Intelligence https://www.goodreads.com/book/show/34272565-life-3-0
9Suicide of the West: How the Rebirth of Tribalism, Populism, Nationalism, and Identity Politics Is Destroying American Democracy https://www.goodreads.com/book/show/34272701-suicide-of-the-west
10Fifty Inventions That Shaped the Modern Economy https://www.goodreads.com/book/show/33358206-fifty-inventions-that-shaped-the-modern-economy
11Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenmenthttps://www.goodreads.com/book/show/32895535-why-buddhism-is-true
12the origins of creativityhttps://www.goodreads.com/book/show/34082138-the-origins-of-creativity
13Inadequate Equilibria: Where and How Civilizations Get Stuckhttps://www.goodreads.com/book/show/36606376-inadequate-equilibria
14The Elephant in the Brain: Hidden Motives in Everyday Life https://www.goodreads.com/book/show/28820444-the-elephant-in-the-brain
15Soccermatics: Mathematical Adventures in the Beautiful Gamehttps://www.goodreads.com/book/show/26073086-soccermatics
16Our Mathematical Universe: My Quest for the Ultimate Nature of Reality https://www.goodreads.com/book/show/19395553-our-mathematical-universe
17Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Arehttps://www.goodreads.com/book/show/28512671-everybody-lies
18Homo Deus: A Brief History of Tomorrow https://www.goodreads.com/book/show/31138556-homo-deus
19Scale: The Universal Laws of Life, Growth, and Death in Organisms, Cities, and Companieshttps://www.goodreads.com/book/show/31670196-scale
20Skin in the Game: Hidden Asymmetries in Daily Lifehttps://www.goodreads.com/book/show/36064445-skin-in-the-game
21The End of Average: How We Succeed in a World That Values Samenesshttps://www.goodreads.com/book/show/24186666-the-end-of-average
22Algorithms to Live By: The Computer Science of Human Decisionshttps://www.goodreads.com/book/show/25666050-algorithms-to-live-by
23when:the scientific secrets of perfect timinghttps://www.goodreads.com/book/show/35412097-when
24Sensemaking: The Power of the Humanities in the Age of the Algorithmhttps://www.goodreads.com/book/show/30841991-sensemaking
25Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Successhttps://www.goodreads.com/book/show/31450959-peak-performance
26The Culture Code: The Secrets of Highly Successful Groupshttps://www.goodreads.com/book/show/33517721-the-culture-code
27nine lies about work:
A freethinking Leader's guide to the Real worldhttps://www.goodreads.com/book/show/40086702-nine-lies-about-work
28The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness https://www.goodreads.com/book/show/43306206-the-courage-to-be-disliked
29The formula: The universal Laws
of successhttps://www.goodreads.com/book/show/39088545-the-formula
30you can do anything the surprising power
of a useless liberal arts educationhttps://www.goodreads.com/book/show/33385692-you-can-do-anything
31Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Workhttps://www.goodreads.com/book/show/30317415-stealing-fire
32astrophysics for people in a hurryhttps://www.goodreads.com/book/show/32191710-astrophysics-for-people-in-a-hurry
33Success and Luck: Good Fortune and the Myth of Meritocracyhttps://www.goodreads.com/book/show/26597345-success-and-luck
34Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performershttps://www.goodreads.com/book/show/31823677-tools-of-titans
35Popular: The Power of Likability in a Status-Obsessed Worldhttps://www.goodreads.com/book/show/33155370-popular
36Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wronghttps://www.goodreads.com/book/show/31706504-barking-up-the-wrong-tree
37Stretch: Unlock the Power of Less -and Achieve More Than You Ever Imaginedhttps://www.goodreads.com/book/show/30227209-stretch
38Option B: Facing Adversity, Building Resilience, and Finding Joyhttps://www.goodreads.com/book/show/32938155-option-b
39The Telomere Effect: A Revolutionary Approach to Living Younger, Healthier, Longerhttps://www.goodreads.com/book/show/34458942-the-telomere-effect
40The Complacent Class: The Self-Defeating Quest for the American Dreamhttps://www.goodreads.com/book/show/29939212-the-complacent-class
41Sapiens: A Brief History of Humankind https://www.goodreads.com/book/show/23692271-sapiens
42Artificial Unintelligence: How Computers Misunderstand the Worldhttps://www.goodreads.com/book/show/39947737-artificial-unintelligence
43The Book of Why: The New Science of Cause and Effect https://www.goodreads.com/book/show/36204378-the-book-of-why
44Radical Inclusion: What the Post-9/11 World Should Have Taught Us About Leadership https://www.goodreads.com/book/show/37810744-radical-inclusion
45Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts https://www.goodreads.com/book/show/35957157-thinking-in-bets
46Enlightenment Now: The Case for Reason, Science, Humanism, and Progress https://www.goodreads.com/book/show/35696171-enlightenment-now
47The Gardener and the Carpenter: What the New Science of Child Development Tells Us About the Relationship Between Parents and Children https://www.goodreads.com/book/show/28595855-the-gardener-and-the-carpenter
