Book_Name,Book_#,URL
How Emotions Are Made: The Secret Life of the Brain,1,https://www.goodreads.com/book/show/23719305-how-emotions-are-made
Before You Know It: The Unconscious Reasons We Do What We Do,2,https://www.goodreads.com/book/show/35011639-before-you-know-it
Denying to the Grave: Why We Ignore the Facts That Will Save Us,3,https://www.goodreads.com/book/show/29587064-denying-to-the-grave
The Knowledge Illusion: Why We Never Think Alone,4,https://www.goodreads.com/book/show/30780235-the-knowledge-illusion
How the Body Knows Its Mind: The Surprising Power of the Physical Environment to Influence How You Think and Feel,5,https://www.goodreads.com/book/show/21412336-how-the-body-knows-its-mind
Wired for Culture: Origins of the Human Social Mind,6,https://www.goodreads.com/book/show/13252205-wired-for-culture
Mind – A Journey to the Heart of Being Human,7,https://www.goodreads.com/book/show/28789687-mind-a-journey-to-the-heart-of-being-human
"Nerve: Poise Under Pressure, Serenity Under Stress, and the Brave New Science of Fear and Cool",8,https://www.goodreads.com/book/show/9968232-nerve
Pieces of Light: The New Science of Memory,9,https://www.goodreads.com/book/show/15760687-pieces-of-light
The Anatomy of Violence: The Biological Roots of Crime,10,https://www.goodreads.com/book/show/16113422-the-anatomy-of-violence
The Dollar Trap: How the U.S. Dollar Tightened Its Grip on Global Finance,11,https://www.goodreads.com/book/show/19824894-the-dollar-trap
Capture: A Theory of the Mind,12,https://www.goodreads.com/book/show/24336403-capture
Beyond Human Nature: How Culture and Experience Shape the Human Mind,13,https://www.goodreads.com/book/show/8300647-beyond-human-nature
"Surfing Uncertainty: Prediction, Action, and the Embodied Mind",14,https://www.goodreads.com/book/show/25823558-surfing-uncertainty
"Mindwise: How We Understand What Others Think, Believe, Feel, and Want",15,https://www.goodreads.com/book/show/18007504-mindwise
The Executive Brain: Frontal Lobes and the Civilized Mind,16,https://www.goodreads.com/book/show/193728.The_Executive_Brain
The Mind&;s New Science: A History Of The Cognitive Revolution,17,https://www.goodreads.com/book/show/731355.The_Mind_s_New_Science
